学科名称,大学名称,排名,论文数,引用次数,每篇论文引用次数
"SOCIAL SCIENCES, GENERAL",NANJING UNIVERSITY OF AERONAUTICS & ASTRONAUTICS,856,431,8766,20.340
"SOCIAL SCIENCES, GENERAL",PEKING UNIVERSITY SHENZHEN GRADUATE SCHOOL (PKU SHENZHEN),866,387,8587,22.190
"SOCIAL SCIENCES, GENERAL",ZHEJIANG UNIVERSITY OF FINANCE & ECONOMICS,871,488,8573,17.570
"SOCIAL SCIENCES, GENERAL",GUANGDONG UNIVERSITY OF FOREIGN STUDIES,881,768,8483,11.050
"SOCIAL SCIENCES, GENERAL",LANZHOU UNIVERSITY,894,714,8182,11.460
"SOCIAL SCIENCES, GENERAL",UNIVERSITY OF NOTTINGHAM NINGBO CHINA,903,502,8072,16.080
"SOCIAL SCIENCES, GENERAL",ANHUI UNIVERSITY OF FINANCE & ECONOMICS,912,262,7966,30.400
"SOCIAL SCIENCES, GENERAL",HENAN UNIVERSITY,929,637,7722,12.120
"SOCIAL SCIENCES, GENERAL",CHANG'AN UNIVERSITY,931,545,7699,14.130
"SOCIAL SCIENCES, GENERAL",HEFEI UNIVERSITY OF TECHNOLOGY,939,395,7617,19.280
"SOCIAL SCIENCES, GENERAL",CHINESE ACADEMY OF SOCIAL SCIENCES,947,577,7515,13.020
"SOCIAL SCIENCES, GENERAL",HOHAI UNIVERSITY,961,511,7355,14.390
"SOCIAL SCIENCES, GENERAL",UNIVERSITY OF ELECTRONIC SCIENCE & TECHNOLOGY OF CHINA,973,564,7262,12.880
"SOCIAL SCIENCES, GENERAL",DALIAN MARITIME UNIVERSITY,978,516,7223,14.000
"SOCIAL SCIENCES, GENERAL",WUHAN UNIVERSITY OF TECHNOLOGY,1005,438,6988,15.950
"SOCIAL SCIENCES, GENERAL",CHINA UNIVERSITY OF PETROLEUM,1032,288,6851,23.790
"SOCIAL SCIENCES, GENERAL",SOOCHOW UNIVERSITY - CHINA,1037,812,6822,8.400
"SOCIAL SCIENCES, GENERAL",PEKING UNION MEDICAL COLLEGE,1046,721,6741,9.350
"SOCIAL SCIENCES, GENERAL",NANJING UNIVERSITY OF INFORMATION SCIENCE & TECHNOLOGY,1052,328,6705,20.440
"SOCIAL SCIENCES, GENERAL",SHANGHAI MARITIME UNIVERSITY,1053,441,6703,15.200
"SOCIAL SCIENCES, GENERAL",NANJING UNIVERSITY OF FINANCE & ECONOMICS,1054,392,6672,17.020
"SOCIAL SCIENCES, GENERAL",XI'AN JIAOTONG-LIVERPOOL UNIVERSITY,1056,618,6649,10.760
