学科名称,大学名称,排名,论文数,引用次数,每篇论文引用次数
NEUROSCIENCE & BEHAVIOR,KUNMING MEDICAL UNIVERSITY,908,742,12865,17.340
NEUROSCIENCE & BEHAVIOR,PEKING UNION MEDICAL COLLEGE HOSPITAL,926,773,12528,16.210
NEUROSCIENCE & BEHAVIOR,QINGDAO MUNICIPAL HOSPITAL,964,445,11831,26.590
NEUROSCIENCE & BEHAVIOR,GUANGZHOU UNIVERSITY OF CHINESE MEDICINE,1013,768,11042,14.380
NEUROSCIENCE & BEHAVIOR,NANJING UNIVERSITY OF CHINESE MEDICINE,1017,679,11015,16.220
NEUROSCIENCE & BEHAVIOR,SOUTH CHINA NORMAL UNIVERSITY,1022,853,10960,12.850
NEUROSCIENCE & BEHAVIOR,BEIJING UNIVERSITY OF CHINESE MEDICINE,1148,606,9254,15.270
NEUROSCIENCE & BEHAVIOR,CHINA PHARMACEUTICAL UNIVERSITY,1154,351,9222,26.270
NEUROSCIENCE & BEHAVIOR,NANKAI UNIVERSITY,1164,439,9137,20.810
NEUROSCIENCE & BEHAVIOR,BEIJING NEUROSURGICAL INSTITUTE,1168,422,9113,21.590
NEUROSCIENCE & BEHAVIOR,SOUTHWEST MEDICAL UNIVERSITY,1211,513,8718,16.990
NEUROSCIENCE & BEHAVIOR,SHANGHAI UNIVERSITY OF TRADITIONAL CHINESE MEDICINE,1223,694,8568,12.350
NEUROSCIENCE & BEHAVIOR,BINZHOU MEDICAL UNIVERSITY,1261,382,8242,21.580
