iter	Logloss
0	0.6837860617
5	0.6436090894
10	0.6124112153
15	0.587415249
20	0.5691568833
25	0.5530234151
30	0.5423871899
35	0.5324129694
40	0.5236901291
45	0.5168763839
50	0.5106460561
55	0.5054483269
60	0.5007626967
65	0.4965791557
70	0.4929499267
75	0.4899736461
80	0.4873928048
85	0.4847850627
90	0.4827614826
95	0.4809648169
100	0.4794021259
105	0.4778872486
110	0.4763558376
115	0.4751944248
120	0.4741460669
125	0.4728867327
130	0.4720029674
135	0.4711975511
140	0.4704829661
145	0.4697354626
150	0.4691024143
155	0.4685458382
160	0.4681467347
165	0.4677484654
170	0.4674131732
175	0.4670545848
180	0.4667168796
185	0.466421179
190	0.4660593434
195	0.465754944
200	0.4654800669
205	0.4652058453
210	0.4650022569
215	0.4648184197
220	0.4646687522
225	0.4645266812
230	0.4643113554
235	0.464207029
240	0.4640625748
245	0.4639339096
250	0.4638039336
255	0.4636776219
260	0.4635629582
265	0.4634549974
270	0.4633552588
275	0.4632480427
280	0.4631451165
285	0.4630569366
290	0.4629601174
295	0.4628708948
300	0.4627905796
305	0.4627022805
310	0.4626270595
315	0.4625577668
320	0.4624865079
325	0.4624133126
330	0.4623384192
335	0.4622597127
340	0.4621933395
345	0.4621269066
350	0.4620414972
355	0.4619295147
360	0.4618698443
365	0.4618176811
370	0.4617587257
375	0.4617056092
380	0.4616568422
385	0.4616047683
390	0.461559308
395	0.4615093195
400	0.461462608
405	0.4614112194
410	0.4613617076
415	0.4613154727
420	0.4612750768
425	0.4612273524
430	0.4611833816
435	0.4611378319
440	0.4610924311
445	0.4610341609
450	0.4609963269
455	0.4609447298
460	0.4609033508
465	0.4608606014
470	0.4608247634
475	0.4607761155
480	0.4607350344
485	0.4606862077
490	0.4606504293
495	0.4605977597
500	0.460558049
505	0.4605208406
510	0.4604873263
515	0.4604455302
520	0.4604137735
525	0.4603734372
530	0.4603308367
535	0.460294969
540	0.460264106
545	0.46023083
550	0.460194426
555	0.4601522426
560	0.4601167919
565	0.4600705272
570	0.460035017
575	0.4600008175
580	0.4599638772
585	0.4599248516
590	0.4598778422
595	0.4597923435
600	0.4597553139
605	0.4597151265
610	0.4596799737
615	0.4596407693
620	0.4596134514
625	0.4595766304
630	0.4595454993
635	0.4595098103
640	0.4594732871
645	0.4594287205
650	0.4593961595
655	0.4593645219
660	0.4593357741
665	0.459304077
670	0.4592668686
675	0.4592340991
680	0.4591934052
685	0.4591606655
690	0.4591296238
695	0.4590939049
700	0.4590563093
705	0.4590259528
710	0.458991217
