total_subjects,top_subjects,high_subjects,medium_subjects,other_subjects,total_documents,total_cites,avg_cites_per_paper,subjects_in_top_500_count,university_name,cluster
3,0,1,0,2,1099.0,35004.0,34.99666666666666,1,NESTLE SA,0
1,0,0,0,1,340.0,17064.0,50.19,0,AZIENDA OSPEDALIERA DI PERUGIA,0
1,0,0,0,1,101.0,48490.0,480.1,0,NATIONAL INSTITUTE OF HEALTH RESEARCH & DEVELOPMENT - INDONESIA,0
2,0,0,0,2,470.0,16348.0,34.785,0,SERVIER,0
2,0,0,1,1,568.0,28865.0,48.989999999999995,0,RESEARCH INSTITUTE OF MOLECULAR PATHOLOGY (IMP),0
20,0,14,3,3,36031.0,861299.0,24.083000000000006,14,UNIVERSITY OF ILLINOIS CHICAGO HOSPITAL,1
1,0,0,0,1,9.0,7848.0,872.0,0,LLC MEDINET,0
3,0,1,0,2,811.0,14804.0,19.52333333333333,1,SHANGHAI LIXIN UNIVERSITY OF ACCOUNTING & FINANCE,0
1,0,0,0,1,336.0,7472.0,22.24,0,LUDWIG BOLTZMANN INSTITUTE FOR EXPERIMENTAL & CLINICAL TRAUMATOLOGY,0
1,0,0,0,1,295.0,3492.0,11.84,0,WESLEYAN UNIVERSITY,0
22,10,9,3,0,84385.0,2872478.0,33.49863636363636,19,YALE UNIVERSITY,4
12,0,3,4,5,11348.0,303809.0,26.775000000000006,3,EOTVOS LORAND UNIVERSITY,2
5,0,0,2,3,6229.0,85536.0,14.662,0,DEFENCE RESEARCH & DEVELOPMENT ORGANISATION (DRDO),2
1,0,0,0,1,199.0,5147.0,25.86,0,INSTITUTE OF PLANT GENETICS OF THE POLISH ACADEMY OF SCIENCES,0
1,0,0,0,1,1.0,4632.0,4632.0,0,NO ORGANIZATION,3
6,0,0,2,4,3199.0,65525.0,19.705,0,UNIVERSIDADE DA BEIRA INTERIOR,2
4,0,0,0,4,2742.0,38004.0,13.345,0,ROWAN UNIVERSITY,2
2,0,0,0,2,900.0,31504.0,33.31,0,UNIVERSITY OF BOTSWANA,0
1,0,0,0,1,572.0,9799.0,17.13,0,UFA UNIVERSITY OF SCIENCE & TECHNOLOGY,0
21,10,11,0,0,78311.0,2176790.0,28.07428571428572,21,UNIVERSITY OF MINNESOTA TWIN CITIES,4
11,0,0,2,9,6369.0,152603.0,24.34545454545455,0,UNIVERSITY OF TOLEDO,2
2,0,0,0,2,279.0,9357.0,48.900000000000006,0,FONDS DE LA RECHERCHE SCIENTIFIQUE - FNRS,0
3,0,0,0,3,1224.0,24711.0,18.656666666666666,0,MINISTRY OF PUBLIC HEALTH - THAILAND,0
2,0,0,0,2,1027.0,21338.0,20.310000000000002,0,SIEMENS GERMANY,0
22,19,2,1,0,116202.0,4814099.0,41.326818181818176,21,STANFORD UNIVERSITY,4
1,0,0,0,1,513.0,16727.0,32.61,0,PAMELA YOUDE NETHERSOLE EASTERN HOSPITAL,0
5,0,0,0,5,1584.0,32923.0,21.928,0,UNIVERSITY OF MINNESOTA DULUTH,2
1,0,0,0,1,191.0,3325.0,17.41,0,IT UNIVERSITY COPENHAGEN,0
1,0,0,0,1,8.0,4436.0,554.5,0,JAPANESE GASTR CANC ASSOC,0
1,0,0,0,1,131.0,2957.0,22.57,0,LEIBNIZ INSTITUT FUR AGRARENTWICKLUNG IN TRANSFORMATIONSOKONOMIEN (IAMO),0
1,0,0,0,1,2.0,11332.0,5666.0,0,ENVIRONM HLTH ASSOCIATES LLC,3
1,0,0,0,1,1074.0,31134.0,28.99,0,KERCKHOFF CLINIC,0
1,0,0,0,1,33.0,7449.0,225.73,0,UTICA COLL,0
2,0,0,1,1,822.0,31317.0,37.19,0,DIPC,0
3,0,0,0,3,357.0,20558.0,59.776666666666664,0,BEIJING KEY LAB ENERGY ECON & ENVIRONM MANAGEMENT,0
10,0,5,3,2,16097.0,354987.0,23.335,5,ARMY MEDICAL UNIVERSITY,2
1,0,0,0,1,99.0,21818.0,220.38,0,ACAD MED SCI,0
1,0,0,0,1,383.0,8728.0,22.79,0,NATL HOSP ORG SHIKOKU CANC CTR,0
5,0,0,0,5,3056.0,56085.0,18.808,0,UNIVERSITY OF SALFORD,2
3,0,0,0,3,2126.0,61189.0,22.376666666666665,0,UNIVERSITE PARIS 13,0
1,0,0,0,1,207.0,5434.0,26.25,0,EAST KENT HOSP UNIV NHS FDN TRUST,0
2,0,0,0,2,1033.0,24890.0,24.475,0,ST. ANNE'S UNIVERSITY HOSPITAL BRNO (FNUSA-ICRC),0
8,0,0,2,6,6513.0,95167.0,14.399999999999999,0,UNIVERSIDAD DE CADIZ,2
6,0,2,3,1,8001.0,357892.0,37.48166666666666,2,CITY OF HOPE,2
1,0,0,0,1,978.0,21828.0,22.32,0,TEXAS HEART INSTITUTE,0
1,0,0,0,1,268.0,17075.0,63.71,0,GONABAD UNIV MED SCI,0
1,0,0,0,1,530.0,3237.0,6.11,0,ALTAI STATE UNIVERSITY,0
1,0,0,0,1,289.0,9846.0,34.07,0,AMERICAN COLLEGE OF RADIOLOGY,0
2,0,1,0,1,1187.0,25088.0,20.255,1,ALLIANCE MANCHESTER BUSINESS SCHOOL,0
1,0,0,0,1,168.0,10044.0,59.79,0,LOPUKHIN FEDERAL RESEARCH & CLINICAL CENTER OF PHYSICAL-CHEMICAL MEDICINE OF FEDERAL MEDICAL BIOLOGICAL AGENCY,0
6,0,1,4,1,6821.0,115515.0,17.126666666666665,1,HUNAN UNIVERSITY OF SCIENCE & TECHNOLOGY,2
1,0,1,0,0,1147.0,7291.0,6.36,1,INSTITUTE OF MATHEMATICS OF THE ROMANIAN ACADEMY,0
1,0,0,0,1,143.0,12260.0,85.73,0,INSTITUT SALAH AZAIEZ,0
13,0,6,4,3,14170.0,330832.0,22.58769230769231,6,QUAID I AZAM UNIVERSITY,2
1,0,0,0,1,2.0,5255.0,2627.5,0,UNIV HOSP PERUGIA,0
3,0,0,3,0,5360.0,187682.0,34.14333333333334,0,CLINIQUES UNIVERSITAIRES SAINT-LUC,0
1,0,0,0,1,555.0,8520.0,15.35,0,JOHN PAUL 2 HOSP,0
3,0,0,2,1,1923.0,61980.0,27.830000000000002,0,SANOFI FRANCE,0
1,0,0,0,1,51.0,9498.0,186.24,0,GERMAN CANC RES CTR,0
1,0,0,0,1,494.0,4483.0,9.07,0,NINGBO 2 HOSP,0
9,0,1,4,4,6327.0,132545.0,22.276666666666667,1,"THE CHINESE UNIVERSITY OF HONG KONG, SHENZHEN",2
1,0,0,0,1,9.0,7848.0,872.0,0,CLIN RES ADV INC,0
17,0,11,4,2,25033.0,611157.0,22.373529411764707,11,UNIVERSITY OF MANITOBA,1
1,0,0,0,1,109.0,25888.0,237.5,0,MINIST HLTH & SOCIAL WELF,0
1,0,0,1,0,412.0,6050.0,14.68,0,ISTITUTO DI SCIENZA E TECNOLOGIE DELL'INFORMAZIONE ALESSANDRO FAEDO (ISTI-CNR),0
6,0,3,1,2,6621.0,121096.0,20.203333333333337,3,NATURAL HISTORY MUSEUM LONDON,2
1,0,0,0,1,502.0,13665.0,27.22,0,BRISTOL ROYAL INFIRMARY,0
22,8,14,0,0,70591.0,1806638.0,27.224999999999998,22,PENNSYLVANIA STATE UNIVERSITY,4
10,1,2,3,4,14181.0,235017.0,17.034,3,SICHUAN AGRICULTURAL UNIVERSITY,2
5,1,1,1,2,9341.0,263051.0,25.841999999999995,2,SCIENCE & TECHNOLOGY FACILITIES COUNCIL (STFC),0
1,0,0,0,1,1800.0,52506.0,29.17,0,SOUTHMEAD HOSPITAL,0
2,0,1,1,0,1716.0,37133.0,20.14,1,UNIVERSITY OF ST GALLEN,0
2,0,0,0,2,490.0,7833.0,15.875,0,JOMO KENYATTA UNIVERSITY OF AGRICULTURE & TECHNOLOGY,0
1,0,0,0,1,494.0,8173.0,16.54,0,SHOW CHWAN MEMORIAL HOSPITAL,0
16,8,2,3,3,69841.0,2876115.0,40.050625,10,MASSACHUSETTS GENERAL HOSPITAL,4
3,0,0,1,2,1045.0,28749.0,25.953333333333333,0,CAMBRIDGE HEALTH ALLIANCE,0
1,0,0,0,1,2.0,11332.0,5666.0,0,WOMENS INST SOCIAL & HLTH STUDIES,3
1,0,0,1,0,327.0,18101.0,55.35,0,"UES, INC.",0
4,0,0,0,4,2170.0,29628.0,14.434999999999999,0,SIBERIAN FEDERAL UNIVERSITY,2
1,0,0,0,1,641.0,17428.0,27.19,0,VESTFOLD HOSP TRUST,0
11,1,1,4,5,14759.0,308924.0,22.469090909090912,2,CHINA PHARMACEUTICAL UNIVERSITY,2
1,0,0,0,1,57.0,9294.0,163.05,0,NATL INST RESP DIS,0
3,0,0,1,2,2763.0,163197.0,41.336666666666666,0,YALE NEW HAVEN HOSPITAL,0
1,0,0,0,1,32.0,6053.0,189.16,0,GUSTAVE ROUSSY CANC CAMPUS,0
4,0,0,2,2,4373.0,61918.0,15.440000000000001,0,TAIYUAN UNIVERSITY OF SCIENCE & TECHNOLOGY,0
3,0,0,0,3,779.0,83432.0,183.4133333333333,0,MINISTRY OF HEALTH & MEDICAL EDUCATION (MOHME),0
1,0,0,0,1,269.0,9904.0,36.82,0,ENVIRONMENTAL DEFENSE FUND,0
1,0,0,0,1,299.0,6644.0,22.22,0,ZUCKERBERG SAN FRANCISCO GEN HOSP,0
10,4,2,3,1,22594.0,1459072.0,57.87700000000001,6,DANA-FARBER CANCER INSTITUTE,1
19,2,14,3,0,44172.0,1044919.0,22.391052631578944,16,UNIVERSIDADE DO PORTO,1
22,10,10,2,0,137797.0,3910809.0,29.49227272727273,20,TSINGHUA UNIVERSITY,4
9,0,4,3,2,11188.0,391395.0,31.956666666666667,4,MEDICAL UNIVERSITY OF INNSBRUCK,2
3,0,0,1,2,2112.0,47537.0,22.78,0,EGYPTIAN PETROLEUM RESEARCH INSTITUTE (EPRI),0
1,0,0,0,1,8.0,7467.0,933.38,0,HUISARTSENPRAKTIJK HOOGE BOOM,0
1,0,0,0,1,127.0,4973.0,39.16,0,ROYAL LANCASTER INFIRM,0
1,0,0,0,1,5.0,7164.0,1432.8,0,CTR CHECK HOSP SIRIO LIBANES,0
1,0,0,0,1,809.0,76719.0,94.83,0,SEATTLE CANCER CARE ALLIANCE,0
1,0,0,0,1,8.0,7467.0,933.38,0,ICLE SC,0
2,0,0,0,2,1873.0,16764.0,10.255,0,CHENGDU MEDICAL COLLEGE,0
1,0,0,0,1,309.0,6022.0,19.49,0,BROOMFIELD HOSPITAL,0
1,0,0,0,1,131.0,2778.0,21.21,0,ESIC,0
1,0,0,0,1,241.0,5008.0,20.78,0,WELLINGTON REG HOSP,0
4,2,0,1,1,12966.0,593131.0,54.175,2,"INSTITUTE OF CHEMISTRY, CAS",0
1,0,0,0,1,491.0,6011.0,12.24,0,NATIONAL INSTITUTE OF TECHNOLOGY MEGHALAYA,0
1,0,0,1,0,664.0,32846.0,49.47,0,MANHATTAN UNIVERSITY,0
1,0,0,0,1,1.0,4632.0,4632.0,0,MRC PHE CTR HLTH & ENVIRONM,3
19,0,13,6,0,30192.0,742853.0,25.144736842105264,13,LOUISIANA STATE UNIVERSITY SYSTEM,1
3,0,0,1,2,1264.0,20449.0,20.726666666666663,0,GUANGDONG UNIVERSITY OF FOREIGN STUDIES,0
21,4,17,0,0,58370.0,1841009.0,31.49523809523809,21,UNIVERSITY OF GRONINGEN,1
15,2,9,3,1,31754.0,759898.0,24.285333333333334,11,DEAKIN UNIVERSITY,1
1,0,0,0,1,809.0,9583.0,11.85,0,CHIA NAN UNIVERSITY OF PHARMACY & SCIENCE,0
1,0,0,1,0,454.0,8501.0,18.72,0,WZB BERLIN SOCIAL SCI CTR,0
6,1,1,2,2,10866.0,503723.0,49.38166666666667,2,COLLABORATIVE INNOVATION CENTER OF CHEMICAL SCIENCE & ENGINEERING TIANJIN,2
1,0,0,0,1,259.0,11455.0,44.23,0,CARIS LIFE SCI,0
2,0,0,2,0,613.0,21630.0,34.555,0,"LAUREATE INSTITUTE FOR BRAIN RESEARCH, INC.",0
3,0,0,1,2,1215.0,34404.0,28.963333333333335,0,IMDEA MATERIALS INSTITUTE,0
13,0,3,5,5,10598.0,255951.0,28.22307692307692,3,DEPARTMENT OF BIOTECHNOLOGY (DBT) INDIA,2
6,0,0,2,4,3782.0,69511.0,17.71333333333333,0,TAIZHOU UNIVERSITY,2
1,0,0,0,1,257.0,4430.0,17.24,0,RYHOV CTY HOSP,0
8,1,2,4,1,20703.0,257600.0,13.50125,3,MINISTRY OF NATURAL RESOURCES OF THE PEOPLE'S REPUBLIC OF CHINA,2
14,3,7,3,1,19930.0,741138.0,41.69642857142856,10,KING ABDULLAH UNIVERSITY OF SCIENCE & TECHNOLOGY,1
1,0,0,0,1,448.0,7311.0,16.32,0,BARZILAI MEDICAL CENTER,0
