total_subjects,top_subjects,high_subjects,medium_subjects,other_subjects,total_documents,total_cites,avg_cites_per_paper,subjects_in_top_500_count,university_name,cluster
10,3,6,0,1,30719.0,1141027.0,36.787,9,UNIVERSITY OF CALIFORNIA LOS ANGELES MEDICAL CENTER,1
21,4,14,2,1,54463.0,1246143.0,25.47333333333333,18,PURDUE UNIVERSITY,1
16,1,9,3,3,27201.0,784717.0,26.25375,10,UNIVERSITY OF CAPE TOWN,1
19,0,12,7,0,37687.0,880009.0,20.758947368421055,12,UNIVERSITE DE LILLE,1
11,0,8,1,2,19827.0,702743.0,32.68636363636364,8,YESHIVA UNIVERSITY,1
19,0,5,12,2,24459.0,582149.0,21.79,5,UNIVERSITY OF PAVIA,1
15,0,7,6,2,35453.0,591998.0,16.38533333333333,7,NATIONAL YANG MING CHIAO TUNG UNIVERSITY,1
21,3,18,0,0,91290.0,2060304.0,20.15904761904762,21,SEOUL NATIONAL UNIVERSITY (SNU),1
21,4,14,3,0,56738.0,1346245.0,22.200000000000003,18,UNIVERSITE DE MONTPELLIER,1
20,0,14,6,0,41837.0,935146.0,20.2485,14,UNIV LILLE NORD FRANCE COMUE,1
17,0,8,8,1,30646.0,513666.0,17.382352941176467,8,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,1
20,0,11,9,0,29311.0,693025.0,22.268499999999996,11,PRES EUROPEAN UNIV BRETAGNE,1
19,0,4,12,3,22084.0,509278.0,24.111052631578946,4,UNIVERSITY OF SOUTH CAROLINA SYSTEM,1
18,1,12,3,2,41617.0,1303872.0,30.64944444444445,13,UNIVERSITY OF GENEVA,1
15,0,10,0,5,28333.0,764568.0,31.663333333333338,10,UNIVERSITY OF MARYLAND BALTIMORE,1
20,0,17,3,0,37354.0,993575.0,23.900999999999996,17,UNIVERSITE DE BORDEAUX,1
17,0,10,7,0,24179.0,556263.0,25.325294117647058,10,TECHNION ISRAEL INSTITUTE OF TECHNOLOGY,1
20,3,11,6,0,49675.0,1249161.0,23.886499999999995,14,COMMUNAUTE UNIVERSITE GRENOBLE ALPES,1
17,1,9,5,2,31601.0,682568.0,20.54882352941176,10,EAST CHINA NORMAL UNIVERSITY,1
19,0,8,9,2,27296.0,606059.0,24.478947368421053,8,CITY UNIVERSITY OF NEW YORK (CUNY) SYSTEM,1
18,0,11,6,1,25251.0,702958.0,27.31888888888889,11,STONY BROOK UNIVERSITY,1
12,0,7,5,0,17851.0,538792.0,44.07249999999999,7,LOS ALAMOS NATIONAL LABORATORY,1
