iter	Passed	Remaining
410	4349	101470
411	4358	101426
412	4368	101403
413	4377	101353
414	4385	101297
415	4394	101249
416	4403	101201
417	4412	101156
418	4421	101104
419	4430	101047
420	4439	101004
421	4447	100938
422	4455	100872
423	4464	100829
424	4474	100797
425	4483	100754
426	4491	100702
427	4500	100659
428	4510	100626
429	4519	100578
430	4528	100545
431	4537	100504
432	4546	100455
433	4555	100414
434	4564	100367
435	4573	100321
436	4581	100258
437	4590	100204
438	4600	100196
439	4609	100147
440	4617	100094
441	4626	100055
442	4636	100024
443	4645	99974
444	4653	99925
445	4662	99884
446	4671	99839
447	4684	99890
448	4698	99951
449	4711	99984
450	4719	99932
451	4727	99873
452	4736	99812
453	4744	99760
454	4752	99700
455	4761	99651
456	4771	99629
457	4779	99581
458	4788	99535
459	4797	99500
460	4806	99461
461	4815	99406
462	4823	99360
463	4833	99327
464	4841	99278
465	4851	99254
466	4860	99216
467	4872	99238
468	4884	99261
469	4892	99206
470	4901	99168
471	4910	99120
472	4918	99064
473	4926	99015
474	4935	98967
475	4944	98926
476	4952	98864
477	4960	98816
478	4968	98759
479	4976	98710
480	4985	98658
481	4995	98645
482	5005	98622
483	5013	98568
484	5021	98521
485	5030	98480
486	5039	98431
487	5047	98375
488	5055	98332
489	5065	98309
490	5074	98281
491	5083	98248
492	5092	98197
493	5101	98163
494	5109	98117
495	5118	98083
496	5128	98068
497	5137	98021
498	5146	97980
499	5154	97934
500	5163	97899
501	5172	97867
502	5187	97949
503	5198	97949
504	5207	97905
505	5216	97877
506	5224	97823
507	5233	97785
508	5241	97733
509	5249	97683
510	5257	97630
511	5265	97582
512	5275	97556
513	5286	97563
514	5294	97516
515	5303	97469
516	5310	97411
517	5318	97363
518	5327	97316
519	5335	97270
520	5343	97223
521	5351	97172
522	5359	97122
523	5367	97069
524	5376	97025
525	5384	96983
526	5392	96935
527	5400	96887
528	5410	96859
529	5418	96810
530	5427	96781
531	5436	96762
532	5445	96727
533	5454	96697
534	5464	96667
535	5472	96630
536	5481	96595
537	5489	96553
538	5499	96532
539	5508	96507
540	5518	96489
541	5527	96461
542	5537	96442
543	5546	96412
544	5555	96378
545	5565	96365
546	5574	96332
