Model,AUC,LogLoss,BrierScore,Max_F1
XGBoost,0.853252,0.498866,0.171133,0.59384
CatBoost,0.85324,0.455169,0.153557,0.594058
LightGBM,0.853057,0.456747,0.154493,0.59385
Stacking_Final,0.853054,0.371262,0.11817,0.59348
TabNet,0.852442,0.366005,0.117681,0.593487
