学科,区域,入榜机构数,截尾平均排名,最高排名,最低排名
PHARMACOLOGY & TOXICOLOGY,Oceania,39,716.74,24,1295
PHARMACOLOGY & TOXICOLOGY,Asia,458,724.9,4,1387
PHARMACOLOGY & TOXICOLOGY,Africa,36,744.93,1,1333
PHARMACOLOGY & TOXICOLOGY,South America,30,794.67,44,1367
PHARMACOLOGY & TOXICOLOGY,其他,36,844.61,3,1339
PHYSICS,North America,242,429.07,3,982
PHYSICS,Europe,392,448.26,2,995
PHYSICS,Oceania,15,484.73,152,893
PHYSICS,South America,22,569.31,182,987
PHYSICS,Asia,284,586.89,1,993
PHYSICS,Africa,18,711.36,68,959
PHYSICS,其他,22,722.88,107,994
PLANT & ANIMAL SCIENCE,Oceania,69,778.87,25,1897
PLANT & ANIMAL SCIENCE,North America,379,833.45,2,1941
PLANT & ANIMAL SCIENCE,Europe,678,907.4,3,1950
PLANT & ANIMAL SCIENCE,South America,108,1029.45,20,1943
PLANT & ANIMAL SCIENCE,Africa,64,1051.32,10,1918
PLANT & ANIMAL SCIENCE,Asia,571,1092.84,1,1942
PLANT & ANIMAL SCIENCE,其他,81,1385.32,34,1940
PSYCHIATRY PSYCHOLOGY,North America,429,480.24,2,1145
PSYCHIATRY PSYCHOLOGY,Oceania,68,545.7,18,1119
PSYCHIATRY PSYCHOLOGY,Europe,441,573.81,1,1146
PSYCHIATRY PSYCHOLOGY,Africa,12,729.13,235,1104
PSYCHIATRY PSYCHOLOGY,Asia,139,740.29,130,1144
PSYCHIATRY PSYCHOLOGY,其他,39,819.35,34,1147
PSYCHIATRY PSYCHOLOGY,South America,19,819.8,153,1076
"SOCIAL SCIENCES, GENERAL",North America,701,988.57,2,2401
"SOCIAL SCIENCES, GENERAL",Oceania,107,1056.44,24,2391
"SOCIAL SCIENCES, GENERAL",Europe,821,1128.19,1,2403
"SOCIAL SCIENCES, GENERAL",Africa,73,1421.32,137,2373
"SOCIAL SCIENCES, GENERAL",South America,63,1422.73,170,2335
"SOCIAL SCIENCES, GENERAL",Asia,535,1430.97,47,2406
"SOCIAL SCIENCES, GENERAL",其他,107,1805.01,11,2406
SPACE SCIENCE,North America,85,107.64,3,235
SPACE SCIENCE,Europe,113,114.87,1,233
SPACE SCIENCE,South America,4,148.0,26,167
SPACE SCIENCE,Asia,20,151.0,15,236
SPACE SCIENCE,其他,4,164.0,16,213
SPACE SCIENCE,Oceania,9,166.29,65,226
